id;nome;descricao;data;data_inicio;data_fim;hora_inicio;hora_fim;tipo_reuniao;obs
1;redefine;Supervisor;2022-10-14;2022-10-14;2022-10-15;Guate;Refin;CRIATIVA;Managed Madeira matrix
2;throughput Travessa Bola;program infrastructures;2022-10-14;2022-10-14;2022-10-14;Monit;Gerai;RESULTADOS;Bedfordshire quantify Orchestrator
3;Fresco deposit;Beleza Orchestrator Piauí;2022-10-14;2022-10-15;2022-10-14;Carro;Seaml;DELIBERATIVA;transmitter Avenida
4;Creative;Pequeno blockchains;2022-10-15;2022-10-14;2022-10-14;depos;Self-;CRIATIVA;Plástico Account panel
5;copy capacitor;transparent;2022-10-14;2022-10-14;2022-10-14;adapt;harne;CRIATIVA;Berkshire channels
6;Filmes Interactions Jogos;synthesize;2022-10-14;2022-10-15;2022-10-14;bleed;withd;CRIATIVA;Web Usability
7;European Borders;Computador Gostoso framework;2022-10-14;2022-10-14;2022-10-14;Plást;Turis;AVALIATIVA;redundant
8;âmbar Toalhas program;infomediaries Frango holistic;2022-10-15;2022-10-14;2022-10-14;GB Be;Accou;AVALIATIVA;International bandwidth
9;Impressionante bluetooth cross-platform;emulation synthesize;2022-10-14;2022-10-15;2022-10-14;itera;Forwa;RESULTADOS;knowledge
10;Malaysian International grid-enabled;bordô Congelado Intranet;2022-10-14;2022-10-14;2022-10-14;Naira;Produ;AVALIATIVA;Metal
